user,text,tag
소진,"부귀해지면 친척도 이것을 어려워하고, 빈천해지면 이를 업신여긴다.","['부(wealth)', '부귀', '친척']"
공자,불의로써 부하고 동시에 귀한 것은 둥둥 떠도는 구름과 같다.,"['부(wealth)', '재물', '불의']"
맹자,늘 재산이 없는 이는 늘 마음이 없다.,"['재산', '마음']"
박제가,재물은 우물과 같다. 퍼 쓸수록 자꾸 가득차고 이용하지 않으면 말라 버린다.,['재물']
토마스 칼라일,사람은 일하기 위해서 창조되었다. 명상하고 느끼며 꿈꾸기 위해서만은 아니다.,"['사람', '일(work)']"
베르길리우스,노동은 모든 것을 정복한다.,['노동']
탈무드,"자기 아이에게 육체적인 노동을 가르치지 않는 것은 그에게 약탈, 강도 같은 것을 가르치는 것과 마찬가지이다.","['자녀교육', '아이(child)', '노동']"
고리키,일이 즐겁다면 인생은 극락이다. 괴로움이라면 그것은 지옥이다.,"['일(work)', '직업']"
W.NL. 영안,"노동은 생활의 꽃이요, 삶의 보람이요, 마음의 기쁨이다.","['노동', '일(work)']"
헤이우드,굴러가는 돌에는 이끼가 끼지 않는다.,['행동']
벤자민 프랭클린,백년을 살 것같이 일하고 내일 죽을 것같이 기도하라.,"['인생', '일(work)', '기도']"
라 로시푸코,육체적 노동은 정신적 고통을 해방시킨다. 그러므로 가난한 사람이 행복해진다.,"['노동', '행복', '가난', '빈자']"
웨벨,수면은 노동하지 않아도 신이 우리들에게 주신 유일한 선물이다. 그러나 노동한다면 그것은 두 배나 달콤하게 된다.,"['수면', '노동', '신(god)']"
올리버 골드스미스,세상에서 제일 즐겁고 훌륭한 일은 한 생애를 통해 일관된 일을 가지는 일이다.,"['직업', '일(work)']"
맹자,"하늘의 시는 땅의 이와 같지 않고, 땅의 이는 사람의 화와 같지 않다.","['하늘', '땅(land)', '사람', '화합']"
채근담,천지의 기운은 따뜻하면 낳아서 기르고 차면 시들어 죽게 한다. 그러므로 성질이 차가운 사람은 받아서 누리는 것도 또한 박할 것이니 오직 화기있고 마음이 따뜻한 사람이라야 그 복이 두터우며 그 은택이 또한 오래가는 것이다.,"['마음', '사람', '성질', '인생살이']"
한국 속담,마음이 맞으면 부처도 부러워한다.,"['마음', '화합']"
한국 속담,마음이 맞으면 삶은 도토리 한 알을 가지고도 허기를 면할 수 있다.,"['화합', '인생살이', '마음', '허기', '배고픔']"
한국 속담,백지장도 맞들면 낫다.,['협동']
한국 속담,집안이 화합하려면 베개 밑 송사는 듣지 않아야 한다.,"['가정', '화합', '송사']"
허버트,벌들은 협동하지 않고는 아무것도 얻지 못한다. 사람도 마찬가지다.,"['협동', '벌(bee)']"
W. NL. 영안,합한 두 사람은 흩어진 열 사람보다 낫다.,"['협력', '화합']"
한국 속담,개미 천 마리가 모이면 맷돌도 든다.,"['협동', '협력', '단결', '개미']"
R. 애스컴,"거짓말을 하지 말라. 부정직하기 때문이다. 모든 진실을 다 이야기하지 말라. 불필요하기 때문이다. 그렇다, 때와 장소에 따라서는 유해한 거짓말이 진실보다 좋을 때가 있다.","['거짓말', '진실']"
스위프트,하나의 거짓을 관철하기 위해서 우리는 또 다른 거짓말을 발견해야 한다.,['거짓말']
까뮈,진실은 빛과 같이 눈을 어둡게 한다. 거짓은 반대로 아름다운 저녁 노을처럼 모든 것을 멋지게 보이게 한다.,"['진실', '거짓']"
J. 릴리,정직을 잃은 자는 더 이상 잃을 것이 없다.,['정직']
W. 헤즐리트,"정직한 사람은 모욕을 주는 결과가 되더라도 진실을 말하며, 잘난 체하는 자는 모욕을 주기 위해서 진실을 말한다.","['정직', '모욕', '진실']"
존 러스킨,너의 정직은 종교나 정책에 기초해서는 안된다. 너의 종교와 정책이 정직에 기초해야 한다.,"['정직', '종교', '정책']"
J. 레이놀즈,"큰 재주를 가졌다면 근면은 그 재주를 더 낫게 해줄 것이며, 보통의 능력밖에 없다면 근면은 부족함을 보충해 줄 것이다.","['근면', '능력', '재주']"
소학,"사람은 부지런하면 생각하고, 생각하면 착한 마음이 일어나는데, 놀면 음탕하고, 음탕하면 착함을 잊으며, 착함을 잊으면 악한 마음이 생긴다.","['근면', '마음', '선(good)', '악(evil)']"
힐티,미래는 일하는 사람의 것이다. 권력과 명예도 일하는 사람에게 주어진다. 게으름뱅이의 손에 누가 권력이나 명예를 안겨줄까?,"['권력', '명예', '일(work)', '미래']"
B. 프랭클린,백권의 책에 쓰인 말보다 한 가지 성실한 마음이 더 크게 사람을 움직인다.,"['마음', '책(book)']"
공자,무례한 사람의 행위는 내 행실을 바로 잡게 해주는 스승이다.,"['무례함', '행실', '스승']"
명심보감,"군자가 예절이 없으면 역적이 되고, 소인이 예절이 없으면 도적이 된다.","['예절', '군자', '소인']"
B. 프랭클린,손윗사람에게 겸손하고 동등한 사람에게는 예절 바르며 아랫사람에게는 고결해야 한다.,"['인생살이', '인간관계']"
한국 속담,맛 없는 국이 뜨겁기만 하다.,"['사람', '교양', '인격', '교만', '천박함']"
J. 버넌,"쓰러진 자 망할까 두렵지 않고, 낮춘 자 거만할까 두렵지 않다.","['인생살이', '거만']"
논어,예의는 남과 화목함을 으뜸으로 삼는다.,"['예의', '화목함']"
에머슨,"겸손한 자만이 다스릴 것이요, 애써 일하는 자만이 가질 것이다.","['겸손', '통치', '일(work)']"
T. 풀러,산이 높을수록 골은 낮다.,"['산(mountain)', '골짜기']"
O. 메러디드,우선 겸손을 배우려 하지 않는 자는 아무것도 배우지 못한다.,"['겸손', '배움']"
회남자,강물이 모든 골짜기의 물을 포용할 수 있음은 아래로 흐르기 때문이다. 오로지 아래로 낮출 수 있으면 결국 위로도 오를 수 있게 된다.,"['처세', '강물', '물(water)']"
아쇼카왕의 칙령,"누구나 자신의 종교만을 숭상하고 다른 종교를 저주해서는 안 된다. 여러가지의 이유로 다른 종교도 존경해야 한다. 자신의 종교를 포교하면서 다른 종교에도 봉사해야 한다. 그렇지 않으면 누구나 자신의 종교에 무덤을 파는 것이며, 다른 종교에 해를 끼치는 것이다. 자신의 종교만을 숭상하고 다른 종교를 저주하는 자는 누구나 '나는 내 종교를 찬양하는 것이다'라고 생각하면서 자신의 종교에 헌신할 것이다. 그러나 자신의 종교에만 집착하게 되면 그 자신의 종교를 더욱 해치게 된다. 그러므로 화해하는 것이 좋다. 경청하라! 다른 종교의 교의나 가르침에도 귀를 기울여라.",['종교']
순자,아는 것을 안다 하고 모르는 것을 모른다 하는 것이 말의 근본이다.,"['말(words)', '대화']"
채근담,한 마디의 말이 들어 맞지 않으면 천 마디의 말을 더 해도 소용이 없다. 그러기에 중심이 되는 한 마디를 삼가서 해야 한다. 중심을 찌르지 못하는 말일진대 차라리 입 밖에 내지 않느니만 못하다.,['말(words)']
사아디,말이 있기에 사람은 짐승보다 낫다. 그러나 바르게 말하지 않으면 짐승이 그대보다 나을 것이다.,"['말(words)', '사람', '짐승']"
탈무드,인간은 입이 하나 귀가 둘이 있다. 이는 말하기보다 듣기를 두 배 더하라는 뜻이다.,"['듣기', '경청']"
태평어람,질병은 입을 좇아 들어가고 화근은 입을 좇아 나온다.,"['질병', '화근', '말(words)']"
전당시,"입은 화의 문이요, 혀는 이 몸을 베는 칼이다. 입을 닫고 혀를 깊이 간직하면 몸 편안히 간 곳마다 튼튼하다.","['말(words)', '침묵']"
J. 레이,말은 마음의 초상이다.,"['말(words)', '마음']"
H. 애덤즈,누구도 자기가 하는 말이 다 뜻이 있어서 하는 것이 아니다. 그럼에도 자기가 뜻하는 바를 모두 말하는 사람은 거의 없다.,['말(words)']
소포클레스,말을 많이 한다는 것과 잘 한다는 것은 별개이다.,"['말(words)', '대화', '소통']"
E. 리스,말도 아름다운 꽃처럼 그 색깔을 지니고 있다.,['말(words)']
쉴러,악을 피하기 위해 선을 저지름은 선일 수 없다.,"['악(evil)', '선(good)']"
S. 존슨,악행은 덕행보다 언제나 더 쉽다. 그것은 모든 것에 지름길로 가기 때문이다.,"['악행', '악(evil)', '덕행']"
찰스 칼렙 콜튼,"악은 즐거움 속에서도 괴로움을 주지만, 덕은 고통 속에서도 우리를 위로해 준다.","['악(evil)', '덕(virtue)']"
채근담,착한 일을 하고 이익을 보지 않음은 풀 속에 난 동과와 같으니 모르는 가운데 절로 자란다. 몹쓸 일을 하고도 손해를 보지 않음은 뜰 앞의 봄눈과 같으니 모르는 중에 반드시 녹게 된다.,"['선행', '악행']"
소열황제,"착한 일은 작다 해서 아니하지 말고, 악한 일은 작다 해도 하지 말라.","['선행', '악행']"
라 로슈푸코,"선의 끝은 악이요, 악의 끝은 선이다.","['선(good)', '악(evil)']"
그리이스 사화집,시기는 자신의 화살로 자신을 죽인다.,"['시기', '자기자신']"
라 로슈푸코,질투속에는 사랑보다 이기심이 더 많다.,"['질투', '사랑', '이기심']"
소학,"세상 사람들은 나보다 나은 사람을 싫어하고, 나에게 아첨하는 자를 좋아한다.","['시기심', '아첨', '인생살이']"
존 스튜어트 밀,"모든 격정 중에서 가장 추악하고 반사회적인 것, 그것은 시기다.","['시기(envy)', '감정']"
라 로슈푸코,시기는 증오보다 더욱 비타협적이다.,"['시기', '증오']"
셰익스피어,"공기처럼 가벼운 사소한 일도, 질투하는 이에게는 성서의 증거처럼 강력한 확증이다.",['질투']
W. 윌시,나는 내 실망은 견딜 수 있어도 남의 희망은 참을 수 없다.,"['시기심', '실망', '자기자신', '타인']"
오비디우스,시기심은 살아 있는 자에게서 자라다 죽을 때 멈춘다.,"['시기심', '죽음']"
Y. 예프첸코,시기심을 나타냄은 자기 자신에 대한 모욕이다.,"['시기심', '자기자신']"
J. 로스탕,한 사람을 죽이면 그는 살인자다. 수백만 명을 죽이면 그는 정복자이다. 모든 사람을 죽이면 그는 신이다.,"['살인', '죽음', '정복자', '신(god)']"
빅터 위고,죽은 자에게 신은 생명을 되붙여 준다.,"['죽음', '신(god)']"
셰익스피어,"진실은 백일하에 드러날 것이고, 살인도 오래 숨기지는 못한다.","['진실', '살인']"
G.H. 루이스,살인도 재능처럼 혈통을 따라 흐는 것 같다.,"['살인', '혈통']"
M. 고리키,"우리는 모든 사람을 죽인다. 몇 사람은 총알로, 몇 사람은 말로. 모든 사람은 그들의 행위로 사람들을 무덤으로 몰아넣고도 그것을 보지도 않고 느끼지도 않는다.",['살인']
H. 밀러,살인 없이 사는 것은 세상을 놀라게 할 수 있을 그런 생각이다.,['살인']
한국 속담,술 받아주고 뺨 맞는다.,['술(alcohol)']
한국 속담,술은 백약(百藥 )의 장(長),['술(alcohol)']
법화경,"사람이 술을 마시고, 술이 술을 마시고, 술이 사람을 마신다.","['술(alcohol)', '음주']"
W. 위철리,"와인은 우리에게 자유를 주고, 사랑은 그것을 빼앗아가 버린다. 와인은 우리를 왕자로 만들고, 사랑은 우리를 거지로 만든다.","['술(alcohol)', '포도주(wine)', '자유', '사랑']"
롱펠로우,"술집에 가 본 적이 없는 자는 술집이 얼마나 낙원인지를 모른다. 오, 신성한 술집이여! 오, 기적적인 술집이여!","['술(alcohol)', '술집']"
토마스 풀러,술망나니는 바보의 혀와 악한의 심장을 가지고 있다.,"['술망나니', '술(alcohol)', '음주']"
이백,"두 사람이 술잔을 마주하니 산꽃이 피네. 한 잔, 또 한 잔, 다시 또 한 잔.","['술(alcohol)', '음주', '사람']"
토마스 풀러,바다에 빠져 죽은 사람보다 술에 빠져 죽은 사람이 더 많다.,"['술(alcohol)', '와인(wine)', '죽음']"
J. 펌프레트,"술은 기지를 날카롭게 하고 그 타고난 힘을 증진시켜 주며, 대화에 즐거운 향기를 풍기게 한다.","['술(alcohol)', '대화']"
팔다라스,술잔과 입술 사이에는 많은 실수가 있다.,"['술(alcohol)', '실수']"
아이스킬로스,"청동은 모양을 비추는 거울이지만, 술은 마음을 비추는 거울이다.","['동(Bronze)', '술(alcohol)', '음주', '마음']"
J. 헤이,"술은 비와 같다. 즉 진흙에 내리면 진흙은 더욱 더럽게 되나, 옥토에 내리면 아름답게 하고 꽃피게 한다.","['술(alcohol)', '음주']"
장자,유한한 목숨으로써 어찌 무한한 욕심을 따르려 하는가.,"['욕심', '목숨']"
빌리 그레엄,돈을 버는 데 그릇된 방법을 썼다면 그 만큼 그 마음 속에는 상처가 나 있을 것이다.,"['돈(money)', '돈벌이']"
볼테르,참다운 욕구 없이 참다운 만족은 없다.,"['욕구', '만족']"
한국 속담,세살 때 버릇이 여든까지 간다.,"['버릇', '습관']"
도스토예프스키,습관이란 인간으로 하여금 어떤 일이든지 하게 만든다.,['습관']
한국 속담,구제할 것은 없어도 도둑 줄 것은 있다.,"['도둑', '재산']"
한국 속담,"도둑놈은 한 죄, 잃은 놈은 열 죄.",['도둑놈']
한국 속담,도둑맞으면 어미 품도 들춰 본다,"['인생살이', '도둑', '의심']"
한무제,"환락이 진하니, 애수의 정이 또한 짙구나.",['환락']
알랭,대개 결혼의 파탄은 한쪽이 자아를 손상시키는 데서 생긴다.,['결혼']
명심보감,"유순하고 정렬한 것은 부인의 덕이요, 부지런하고 검소한 것은 부인의 복이다.","['부인', '아내']"
장자,"부덕이라는 것은 정조를 맑게 하고 곧게 지키며, 분수를 지키고 몸을 정돈하며, 행동을 얌전하게 하는 것을 말한다.",['부덕']
카르마 요가,정숙한 아내의 사랑을 얻는 것이 남자로서는 가장 보람된 일이다.,"['아내', '남자']"
채근담,"기녀라도 늙으막에 양인을 따르면 한 세상 분냄새가 거리낌이 없을 것이요, 정숙한 부인이라도 늙으막에 정조를 잃고 보면 반생의 깨끗한 고절이 아랑곳 없으리라.","['여자', '기녀', '정조']"
탈무드,우리는 동성애를 용서할 수 없는 행위로 간주한다.,['동성애']
라 로시푸코,"연애의 초기에는 여자는 애인을 사랑하고, 그 다음에는 사랑을 사랑한다.","['연애', '여자', '사랑']"
T. 페인,"내 조국은 세계요, 내 종교는 선을 행하는 것이다.","['조국', '종교', '선(good)']"
H.S. 트루먼,강대국의 책임은 세계를 지배하는 것이 아니라 세계에 봉사하는 것이다.,"['강대국', '국가']"
디오게네스,나는 세계의 시민이다.,['시민']
볼테르,우리의 조국이란 우리의 마음이 묶여 있는 곳이다.,"['조국', '마음']"
회남자,"나라에 의가 지켜지지 않으면 비록 클지라도 반드시 망할 것이요, 사람에게 착한 뜻이 없으면 힘이 있을 지라도 반드시 상하고 말 것이다.","['나라', '사람']"
바이런,"한 나라를 세우기 위해서는 일천년도 부족하지만, 그것을 무너뜨리기 위해서는 단 한 시간으로도 족하다.","['나라', '국가']"
W.E. 글래드스턴,국가의 불의는 국가를 몰락으로 이끄는 가장 정확한 길이다.,"['국가', '불의']"
나폴레옹,모든 제국은 소화불량으로 죽는다.,"['제국', '국가']"
R.W. 에머슨,국가는 자살에 의하지 않고는 결코 쇠망하지 않는다.,['국가']
아인슈타인,"국가가 사람을 위해 만들어졌지, 사람이 국가를 위해 만들어지지 않았다.","['국가', '사람']"
N. 레닌,국가가 있는 한 자유는 없다. 자유가 있을 때는 국가가 있지 않을 것이다.,"['국가', '자유']"
G. 베르나노스,현대국가는 권리밖에는 더 이상 아무것도 가지지 않는다. 그것은 의무를 조금도 인식하지 않는다.,"['국가', '권리', '의무']"
J.F. 케네디,국가는 시민의 하인이지 주인이 아니다.,"['국가', '시민']"
아리스토텔레스,인간은 정치적인 동물이다.,"['인간', '정치', '국가']"
A. 벤틀리,"정치현상은 철두철미한 힘의 현상이며 압력의 현상인데, 압력은 언제나 집단현상이며, 집단현상은 집단 사이의 압박과 반항을 의미한다.","['정치', '힘(power)']"
육가,마상에서 천하를 취할 수는 있어도 다스릴 수는 없다.,"['정치', '통치']"
지그문트 노이만,"우리들은 이 끊임없이 변화해 가는 정치무대에 있어서 정치가 대체 어디서, 언제, 어떻게 되어지는가를 알고 싶다.",['정치']
R.H. 솔로우,내 눈에 비친 정치인의 인상은 권력에 굶주린 인간의 모습이다.,"['정치인', '권력']"
메리엄,정치의 폭력화는 실정의 고백이다.,"['정치', '실정']"
간디,진정한 민주주의는 비폭력에 의해서만 가져올 수 있는 것이라고 믿고 있다.,"['민주주의', '비폭력']"
루소,만일 신이 국민이라면 그들의 정부는 민주적일 것이다. 그러나 그같이 완전한 정부는 인간을 위하여 존재하지 않는다.,"['정부', '인간']"
오르데카,현대는 초민주주의 시대다. 이것이야말로 우리 시대가 우려할만한 사실이다.,['민주주의']
간디,"민주주의에 대한 나의 개념은, 그 체제 하에서는 가장 약한 자가 가장 강한 자와 똑같은 기회를 가질 수 있다는 것이다.","['민주주의', '강자', '약자', '기회']"
간디,천성의 민주주의자는 선천적으로 규율을 여행하는 자이다.,"['민주주의자', '규율']"
A. 스티븐슨,공화정치의 본질은 명령이 아니다. 그것은 동의이다.,['공화정치']
J. 쿠크,민주주의는 뗏목과 같아 쉽게 전복할 수 없다.,['민주주의']
E.M. 포스터,"민주주의에 두 가지 갈채를 보낸다. 하나는 다양성을 용인하기 때문이요, 또 하나는 비판을 허락하기 때문이다.","['민주주의', '다양성', '비판']"
루소,다수자가 통치하고 소수자가 통치되는 것은 자연법칙에 위반된다.,['통치']
J.F. 케네디,민주주의는 무엇보다 우수한 통치형태이다. 그것은 인간을 이성적 존재로서 존경하는 데 기초하기 때문이다.,"['민주주의', '통치']"
C. 애틀리,민주주의란 토의에 의한 통치를 의미한다.,"['민주주의', '통치']"
영국 속담,압제의 습관은 도리를 노예로 한다.,"['압제', '습관', '도리']"
불가 격언,대중이 원하면 소도 잡아먹는다.,"['대중', '소(cow)']"
간디,시민의 불복종은 시민의 타고난 권리이다.,"['시민', '권리']"
간디,권리의 진정한 연원은 의무이다.,"['권리', '의무']"
왕안석,신하된 자는 사해구주의 원한을 한 몸에 감당해야만 국가에 충성을 다하는 것이다.,"['신하', '국가']"
채근담,"하늘은 한 사람의 어진 이를 내어 뭇사람의 어리석음을 알려주나 세상은 도리어 잘난 것을 뽐냄으로써 남의 모자라는 곳만 들춰내고 있다. 하늘은 한 사람에게 부를 주어 여러 사람의 곤함을 건지게 함이건만, 세상은 도리어 저 있는 바를 믿고 사람의 가난함을 깔보나니 진실로 하늘의 벌을 받을진저.","['부자', '가난', '어리석음', '신(god)']"
R.D. 플레르,민주주의는 우리가 필요할 때마다 국민들에게 주는 명칭이다.,['민주주의']
W. 로저스,당신이 원하든 원하지 않든 당신이 선출한 그 사람을 참고 견뎌야 한다.,"['정치인', '선거']"
나폴레옹,당신들의 국가를 영속시키려면 공공의 안전을 위해 결속하라.,"['국가', '안전']"
V. 위고,인간 최고의 의무는 타인을 기억하는 데 있다.,"['인간', '의무', '인간관계']"
로저스,재산은 권리와 의무를 동시에 갖는다.,['재산']
훌드,희생은 종교의 제일 요소로서 이것을 신학용어로 번역한다면 신의 사랑이 된다.,"['희생', '종교', '신(god)']"
영국 격언,의무가 있은 다음에 쾌락이 있다.,"['의무', '쾌락']"
러스킨,살아서든 죽어서든 너의 책임을 완수하라.,"['책임', '일(work)']"
킹슬레,너의 가장 가까운 곳에 있는 의무를 행하라.,['의무']
아리스토텔레스,가장 훌륭한 정치적 공동사회는 중류층 시민으로 이루어진다.,"['정치', '시민']"
윌리엄 펜,국민들로 하여금 그들이 통치한다고 생각하게 하라. 그러면 그들이 통치받을 것이다.,['통치']
A. 루빈스타인,영국인이 대문자로 쓰는 유일한 글자는 나(I)이다. 이것은 그들의 민족성을 가장 뚜렷하게 이야기해 주는 것이라고 생각한다.,['영국인']
존 스튜어트 밀,국가의 재산은 결국 국가를 구성하는 개인의 재산이다.,"['국가', '재산', '개인']"
사마양저,"옛 성왕들은 나라를 다스림에 있어 하늘의 도에 순응하고 자연의 이치에 따랐으며, 백성 가운데 덕 있는 자를 적재적소의 관직에 배치하고 대의명분을 세워 직무를 수행하게 하였다.",['정치']
동고집,"나라를 다스리는 일이 한두 가지가 아니지만 민심을 얻는 일보다 더 큰 것이 없고, 나라를 다스리는 길이 많지만 민심을 따르는 것보다 더한 것이 없다.","['민심', '정치']"
『회남자』,"백성을 다스리는 임금은 마치 활쏘는 사람과 같아, 그 손에서 털끝만큼만 빗나가도 결과에 가서는 몇 길이나 어긋나게 마련이다.","['임금', '정치']"
라틴 법언,만인은 천리 앞에 평등하다.,['평등']
탈무드,전 인류는 단지 한 선조밖에 갖고 있지 않다. 그러므로 어느 인간이 어느 인간보다 뛰어 났다고 할 수는 없다.,"['인류', '인간']"
공자,"큰 도가 행해지면 사람은 자기 부모만을 부모로 생각하지 않고, 자기 자식만을 자식으로 생각하지 않는다.","['도(道)', '도(tao)']"
만암,불교는 절대 평등이 절대 공기(公器)이다.,"['불교', '평등']"
한스 훤 뷰로,전통예술이란 타락에 지나지 않는다.,['전통예술']
오스카 와일드,"예술, 그것은 무용(無用)의 것이다.",['예술']
사와키,오늘날의 과학문화는 인간의 가장 하등한 의식을 토대로 해서 발달하고 있음에 불과하다는 사실을 잊어서는 안 된다.,['과학문화']
플라톤,"철학자가 통치자이고, 통치자가 철학자인 국가는 행복하다.","['철학자', '통치자', '국가']"
스마일스,사람을 위대하게 만드는 것은 모두 노동에 의해서 얻어진다. 문명이란 노동의 산물이다.,"['문명', '근로', '노동']"
헨리 픽쳐,하나의 발명은 전 인류의 행복이다.,['발명']
영국 속담,단지 자신만을 위해서 생활하는 이는 생활할 가치가 없다.,['이기심']
윌리암 부스,"어떤 사람의 희망은 미술에 있고, 어떤 사람의 희망은 명예에 있고, 어떤 사람의 희망은 황금에 있다. 그래도 나의 큰 희망은 사람에 있다.","['희망', '사람']"
스마일스,대사업의 기록은 대고난의 기록이다.,"['사업', '고난']"
월 모트,"주의는 천재를 만든다. 학문, 사상, 과학은 모두 주의에 기틀을 둔다.","['주의', '천재']"
